Time	Light 
9.1683	15	   
9.185	15	   
9.2017	15	   
9.2184	15	   
9.2351	15	   
9.2518	15	   
9.2685	15	   
9.2852	15	   
9.3019	15	   
9.3186	15	   
9.3353	15	   
9.352	15	   
9.3687	15	   
9.3854	15	   
9.4021	15	   
9.4188	15	   
9.4355	1500	   
9.4522	1500	   
9.4689	1500	   
9.4856	1500	   
9.5023	1500	   
9.519	1500	   
9.5357	1500	   
9.5524	1500	   
9.5691	1500	   
9.5858	1500	   
9.6025	15	   
9.6192	15	   
9.6359	15	   
9.6526	15	   
9.6693	15	   
9.686	15	   
9.7027	15	   
9.7194	15	   
9.7361	15	   
9.7528	15	   
9.7695	15	   
9.7862	15	   
9.8029	15	   
9.8196	15	   
9.8363	15	   
9.853	15	   
9.8697	15	   
9.8864	15	   
9.9031	15	   
9.9198	15	   
9.9365	15	   
9.9532	15	   
9.9699	15	   
9.9866	15	   
10.0033	15	   
10.02	15	   
10.0367	15	   
10.0534	15	   
10.0701	15	   
10.0868	15	   
10.1035	1500	   
10.1202	1500	   
10.1369	1500	   
10.1536	1500	   
10.1703	1500	   
10.187	1500	   
10.2037	1500	   
10.2204	1500	   
10.2371	1500	   
10.2538	1500	   
10.2705	15	   
10.2872	15	   
10.3039	15	   
10.3206	15	   
10.3373	15	   
10.354	15	   
10.3707	15	   
10.3874	15	   
10.4041	15	   
10.4208	15	   
10.4375	15	   
10.4542	15	   
10.4709	15	   
10.4876	15	   
10.5043	15	   
10.521	15	   
10.5377	15	   
10.5544	15	   
10.5711	15	   
10.5878	15	   
10.6045	15	   
10.6212	15	   
10.6379	15	   
10.6546	15	   
10.6713	15	   
10.688	15	   
10.7047	15	   
10.7214	15	   
10.7381	15	   
10.7548	15	   
10.7715	1500	   
10.7882	1500	   
10.8049	1500	   
10.8216	1500	   
10.8383	1500	   
10.855	1500	   
10.8717	1500	   
10.8884	1500	   
10.9051	1500	   
10.9218	1500	   
10.9385	15	   
10.9552	15	   
10.9719	15	   
10.9886	15	   
11.0053	15	   
11.022	15	    
11.0387	15	   
11.0554	15	   
11.0721	15	   
11.0888	15	   
11.1055	15	   
11.1222	15	   
11.1389	15	   
11.1556	15	   
11.1723	15	   
11.189	15	   
11.2057	15	   
11.2224	15	   
11.2391	15	   
11.2558	15	   
11.2725	15	   
11.2892	15	   
11.3059	15	   
11.3226	15	   
11.3393	15	   
11.356	15	   
11.3727	15	   
11.3894	15	   
11.4061	15	   
11.4228	15	   
11.4395	1500	   
11.4562	1500	   
11.4729	1500	   
11.4896	1500	   
11.5063	1500	   
11.523	1500	   
11.5397	1500	   
11.5564	1500	   
11.5731	1500	   
11.5898	1500	   
11.6065	15	   
11.6232	15	   
11.6399	15	   
11.6566	15	   
11.6733	15	   
11.69	15	   
11.7067	15	   
11.7234	15	   
11.7401	15	   
11.7568	15	   
11.7735	15	   
11.7902	15	   
11.8069	15	   
11.8236	15	   
11.8403	15	   
11.857	15	   
11.8737	15	   
11.8904	15	   
11.9071	15	   
11.9238	15	   
11.9405	15	   
11.9572	15	   
11.9739	15	   
11.9906	15	   
12.0073	15	   
12.024	15	   
12.0407	15	   
12.0574	15	   
12.0741	15	   
12.0908	15	   
12.1075	1500	   
12.1242	1500	   
12.1409	1500	   
12.1576	1500	   
12.1743	1500	   
12.191	1500	   
12.2077	1500	   
12.2244	1500	   
12.2411	1500	   
12.2578	1500	   
12.2745	15	   
12.2912	15	   
12.3079	15	   
12.3246	15	   
12.3413	15	   
12.358	15	   
12.3747	15	   
12.3914	15	   
12.4081	15	   
12.4248	15	   
12.4415	15	   
12.4582	15	   
12.4749	15	   
12.4916	15	   
12.5083	15	   
12.525	15	   
12.5417	15	   
12.5584	15	   
12.5751	15	   
12.5918	15	   
12.6085	15	   
12.6252	15	   
12.6419	15	   
12.6586	15	   
12.6753	15	   
12.692	15	   
12.7087	15	   
12.7254	15	   
12.7421	15	   
12.7588	15	   
12.7755	1500	   
12.7922	1500	   
12.8089	1500	   
12.8256	1500	   
12.8423	1500	   
12.859	1500	   
12.8757	1500	   
12.8924	1500	   
12.9091	1500	   
12.9258	1500	   
12.9425	15	   
12.9592	15	   
12.9759	15	   
12.9926	15	   
13.0093	15	   
13.026	15	   
13.0427	15	   
13.0594	15	   
13.0761	15	   
13.0928	15	   
13.1095	15	    
13.1262	15	   
13.1429	15	   
13.1596	15	   
13.1763	15	   
13.193	15	   
13.2097	15	   
13.2264	15	   
13.2431	15	   
13.2598	15	   
13.2765	15	   
13.2932	15	   
13.3099	15	   
13.3266	15	   
13.3433	15	   
13.36	15	   
13.3767	15	   
13.3934	15	   
13.4101	15	   
13.4268	15	   
13.4435	1500	   
13.4602	1500	   
13.4769	1500	   
13.4936	1500	   
13.5103	1500	   
13.527	1500	   
13.5437	1500	   
13.5604	1500	   
13.5771	1500	   
13.5938	1500	   
13.6105	15	   
13.6272	15	   
13.6439	15	   
13.6606	15	   
13.6773	15	   
13.694	15	   
13.7107	15	   
13.7274	15	   
13.7441	15	   
13.7608	15	   
13.7775	15	   
13.7942	15	   
13.8109	15	   
13.8276	15	   
13.8443	15	   
13.861	15	   
13.8777	15	   
13.8944	15	   
13.9111	15	   
13.9278	15	   
13.9445	15	   
13.9612	15	   
13.9779	15	   
13.9946	15	   
14.0113	15	   
14.028	15	   
14.0447	15	   
14.0614	15	   
14.0781	15	   
14.0948	15	   
14.1115	1500	   
14.1282	1500	   
14.1449	1500	   
14.1616	1500	   
14.1783	1500	   
14.195	1500	   
14.2117	1500	   
14.2284	1500	   
14.2451	1500	   
14.2618	1500	 
